"trust_name","ticker","aic_sector","is_active","source_url","notes"
"Aberdeen Asia Focus","AAS","Asia Pacific Smaller Companies","true","https://www.theaic.co.uk/companydata/aberdeen-asia-focus",""
"Aberdeen Diversified Income and Growth Trust","ADIG","Flexible Investment","false","https://quoteddata.com/company/abrdn-diversified-income-growth-adig/","In managed wind-down since Feb 2024; not in AIC's current comparison tool"
"Aberforth Smaller Companies Trust","ASL","UK Smaller Companies","true","https://www.theaic.co.uk/companydata/aberforth-smaller-companies",""
"Aberforth Split Level Income Trust","ASIT","UK Smaller Companies","false","https://www.theaic.co.uk/aic/news/industry-news/aberforth-split-level-income-trust-provides-update-on-wind-up","In wind-up"
"Absolute Return Trust","ABR","Hedge Funds (legacy sector)","false","https://en.wikipedia.org/wiki/Absolute_Return_Trust","Delisted and liquidated Dec 2013 - too old for a 10yr window from 2026"
"Advance Developing Markets Trust","ADD","Global Emerging Markets","false","https://en.wikipedia.org/wiki/Advance_Developing_Markets_Trust","Wound up/dissolved 2018"
"Alliance Witan","ALW","Global","true","https://www.theaic.co.uk/companydata/alliance-witan",""
"Allianz Technology Trust","ATT","Technology & Technology Innovation","true","https://www.theaic.co.uk/companydata/allianz-technology-trust",""
"Alternative Credit Investments","ACI","Debt - Direct Lending","false","https://en.wikipedia.org/wiki/Alternative_Credit_Investments","Taken over by Waterfall Asset Mgmt, delisted Mar 2021 (formerly P2P Global Investments)"
"Alternative Investment Strategies","AIS","Hedge Funds (legacy sector)","false","https://en.wikipedia.org/wiki/Alternative_Investment_Strategies","Wound up, returned capital Feb 2014"
"Apax Global Alpha","APAX","Private Equity","true","https://www.theaic.co.uk/companydata/apax-global-alpha/announcements/8978892",""
"Ashoka India Equity Investment Trust","AIE","India / Indian Subcontinent","true","https://www.theaic.co.uk/companydata/ashoka-india-equity",""
"AVI Global Trust","AGT","Global","true","https://www.theaic.co.uk/companydata/avi-global-trust",""
"Baillie Gifford Japan Trust","BGFD","Japan","true","https://www.theaic.co.uk/companydata/baillie-gifford-japan-trust",""
"Baillie Gifford Shin Nippon","BGS","Japanese Smaller Companies","true","https://www.theaic.co.uk/companydata/baillie-gifford-shin-nippon",""
"Baillie Gifford US Growth Trust","USA","North America","true","https://www.theaic.co.uk/companydata/baillie-gifford-us-growth",""
"Baillie Gifford European Growth Trust","BGEU","Europe","true","https://www.theaic.co.uk/companydata/baillie-gifford-european-growth",""
"Balanced Commercial Property Trust","BCPT","Property - UK Commercial","false","https://en.wikipedia.org/wiki/Balanced_Commercial_Property_Trust","Taken over by Starwood Capital, delisted Nov 2024"
