trust_name,ticker,aic_sector,source_url,manager,management_group,notes
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,https://www.theaic.co.uk/companydata/aberdeen-asia-focus,"Gabriel Sacks, Ng Xin Yao",Aberdeen,
Aberdeen Diversified Income and Growth Trust,ADIG,Flexible Investment,https://quoteddata.com/company/abrdn-diversified-income-growth-adig/,,,In managed wind-down since Feb 2024; not in AIC's current comparison tool
Aberforth Smaller Companies Trust,ASL,UK Smaller Companies,https://www.theaic.co.uk/companydata/aberforth-smaller-companies,"Jeremy George Alexander Hall, Euan Robin Macdonald, Samuel George Ford, Duncan MacInnes, Robert Scott Moncrieff, Peter Robert Shaw",Aberforth Partners,
Aberforth Split Level Income Trust,ASIT,UK Smaller Companies,https://www.theaic.co.uk/aic/news/industry-news/aberforth-split-level-income-trust-provides-update-on-wind-up,,,In wind-up
Absolute Return Trust,ABR,Hedge Funds (legacy sector),https://en.wikipedia.org/wiki/Absolute_Return_Trust,,,Delisted and liquidated Dec 2013 - too old for a 10yr window from 2026
Advance Developing Markets Trust,ADD,Global Emerging Markets,https://en.wikipedia.org/wiki/Advance_Developing_Markets_Trust,,,Wound up/dissolved 2018
Alliance Witan,ALW,Global,https://www.theaic.co.uk/companydata/alliance-witan,"Mark Davis, Stuart Gray, Craig Baker",Willis Towers Watson,
Allianz Technology Trust,ATT,Technology & Technology Innovation,https://www.theaic.co.uk/companydata/allianz-technology-trust,"Michael A. Seidenberg, Danny Su, Erik Swords",Allianz Global Investors,
Alternative Credit Investments,ACI,Debt - Direct Lending,https://en.wikipedia.org/wiki/Alternative_Credit_Investments,,,"Taken over by Waterfall Asset Mgmt, delisted Mar 2021 (formerly P2P Global Investments)"
Alternative Investment Strategies,AIS,Hedge Funds (legacy sector),https://en.wikipedia.org/wiki/Alternative_Investment_Strategies,,,"Wound up, returned capital Feb 2014"
Apax Global Alpha,APAX,Private Equity,https://www.theaic.co.uk/companydata/apax-global-alpha/announcements/8978892,,,Delisted from LSE/AIC Sept 2025 after take-private acquisition (~EUR916m); no longer covered by AIC
Ashoka India Equity Investment Trust,AIE,India / Indian Subcontinent,https://www.theaic.co.uk/companydata/ashoka-india-equity,"Hiren Dasani, Ayush Abhijeet, Prashant R. Khemka",Acorn Asset Management,
AVI Global Trust,AGT,Global,https://www.theaic.co.uk/companydata/avi-global-trust,Joe Bauernfreund,Asset Value Investors,
Baillie Gifford Japan Trust,BGFD,Japan,https://www.theaic.co.uk/companydata/baillie-gifford-japan-trust,Matthew Brett,Baillie Gifford,
Baillie Gifford Shin Nippon,BGS,Japanese Smaller Companies,https://www.theaic.co.uk/companydata/baillie-gifford-shin-nippon,"Brian Lum, Jared Anderson",Baillie Gifford,
Baillie Gifford US Growth Trust,USA,North America,https://www.theaic.co.uk/companydata/baillie-gifford-us-growth,"Gary Robinson, Kirsty Gibson",Baillie Gifford,
Baillie Gifford European Growth Trust,BGEU,Europe,https://www.theaic.co.uk/companydata/baillie-gifford-european-growth,Joe Faraday,Baillie Gifford,
Balanced Commercial Property Trust,BCPT,Property - UK Commercial,https://en.wikipedia.org/wiki/Balanced_Commercial_Property_Trust,,,"Taken over by Starwood Capital, delisted Nov 2024"
Bankers Investment Trust,BNKR,Global,https://www.theaic.co.uk/companydata/bankers,"Sat Duhra, Richard Clode, Junichi Inoue, Alex Crooke",Janus Henderson Investors,
Bellevue Healthcare Trust,CTHT,Healthcare & Biotechnology,https://www.theaic.co.uk/companydata/ct-healthcare-trust,Kosta Kleyman,Columbia Threadneedle,Renamed CT Healthcare Trust after Columbia Threadneedle took over management
Biopharma Credit,BPCR,Debt - Direct Lending,https://www.theaic.co.uk/companydata/biopharma-credit,"Pedro Gonzalez de Cosio, Pablo Legorreta, Martin Friedman",Pharmakon Advisors,
BlackRock Smaller Companies Trust,BRSC,UK Smaller Companies,https://www.theaic.co.uk/companydata/blackrock-smaller-companies,Roland Arnold,BlackRock Investment Management (UK),
BlackRock Greater Europe Investment Trust,BRGE,Europe,https://www.theaic.co.uk/companydata/blackrock-greater-europe,"Brian Hall, Benjamin Moore",BlackRock Investment Management (UK),
BlackRock Throgmorton Trust,THRB,UK Smaller Companies,https://www.theaic.co.uk/companydata/blackrock-throgmorton-trust/performance,,BlackRock Investment Management (UK),"Ticker changed from THRG to THRB; Merged into BlackRock Smaller Companies Trust (BRSC), delisted Apr 2026 - see BRSC row for current manager"
BlackRock World Mining Trust,BRWM,Commodities & Natural Resources,https://www.theaic.co.uk/companydata/blackrock-world-mining,"Olivia Markham, Evy Hambro",BlackRock Investment Management (UK),
Bluefield Solar Income Fund,BSIF,Renewable Energy Infrastructure,https://www.theaic.co.uk/companydata/bluefield-solar-income-fund,,,"Drax agreed GBP548m takeover, Jan 2026 - likely delisting soon; Delisted following Drax takeover (agreed Jan 2026); no longer covered by AIC"
Brunner Investment Trust,BUT,Global,https://www.theaic.co.uk/companydata/brunner,"Julian Bishop, James Ashworth, Simon Gergel, Christian Schneider",Allianz Global Investors,
Caledonia Investments,CLDN,Flexible Investment,https://www.theaic.co.uk/companydata/caledonia-investments,Mat Masters,Caledonia Investments,
Candover Investments,CDI,Private Equity,https://en.wikipedia.org/wiki/Candover_Investments,,,Wound up/liquidated c.2011
Capital Gearing Trust,CGT,Flexible Investment,https://www.theaic.co.uk/companydata/capital-gearing-trust,"Peter Spiller, Alastair Laing, Chris Clothier, Hassan Raza, Emma Moriarty",CG Asset Management,
Chrysalis Investments,CHRY,Growth Capital,https://www.theaic.co.uk/companydata/chrysalis-investments,"Richard Watts, Nick Williamson",Chrysalis Investments,
City of London Investment Trust,CTY,UK Equity Income,https://www.theaic.co.uk/companydata/city-of-london-investment-trust,"Job Curtis (Fund Manager), David Smith (Deputy Fund Manager)",Janus Henderson Investors,
Civitas Social Housing,CSH,Property - UK Residential,https://www.theaic.co.uk/aic/news/industry-news/civitas-social-housing-soars-as-cka-group-bids-to-take-reit-private,,,"Taken private by CK Asset Holdings, delisted Aug 2023"
Cordiant Digital Infrastructure,CORD,Infrastructure,https://www.theaic.co.uk/companydata/cordiant-digital-infrastructure,"Steven Marshall, Andrew Ewe",Cordiant Capital,
Ecofin Water & Power Opportunities,ECWO,"Utilities & Infrastructure (legacy sector, unconfirmed)",https://en.wikipedia.org/wiki/Ecofin_Water_%26_Power_Opportunities,,,"Old/legacy fund, no longer in AIC's current dataset; sector unconfirmed"
Edinburgh Investment Trust,EDIN,UK Equity Income,https://www.theaic.co.uk/companydata/edinburgh-investment-trust,"Imran Sattar, Emily Barnard",Liontrust Asset Management,
Edinburgh Worldwide Investment Trust,EWI,Global Smaller Companies,https://www.theaic.co.uk/companydata/edinburgh-worldwide,"Douglas Brodie, Svetlana Viteva, Luke Ward",Baillie Gifford,
European Opportunities Trust,EOT,Europe,https://www.theaic.co.uk/companydata/european-opportunities-trust,,,Winding down in 2026; rollover option into JPMorgan European Growth & Income; Wound down 2026; rollover option was into JPMorgan European Growth & Income (JEGI) - see JEGI row
European Smaller Companies Trust,ESCT,European Smaller Companies,https://www.theaic.co.uk/companydata/the-european-smaller-companies-trust,"Ollie Beckett, Rory Stokes, Julia Scheufler",Janus Henderson Investors,
Fidelity Asian Values,FAS,Asia Pacific Smaller Companies,https://www.theaic.co.uk/companydata/fidelity-asian-values,"Nitin Bajaj, Ajinkya Dhavale",Fidelity,
Fidelity China Special Situations,FCSS,China / Greater China,https://www.theaic.co.uk/companydata/fidelity-china-special-situations,Dale Nicholls,Fidelity,
Fidelity European Trust,FEV,Europe,https://www.theaic.co.uk/companydata/fidelity-european,"Marcel Stotzel, Sam Morse",Fidelity,
Fidelity Japan Trust,FJV,Japan,https://www.theaic.co.uk/aic/news/industry-news/morning-briefing-fidelity-japan-trust-to-merge-with-avi-japan-opportunity,,,"Merged into AVI Japan Opportunity Trust, completed 2025"
Fidelity Special Values,FSV,UK All Companies,https://www.theaic.co.uk/companydata/fidelity-special-values,"Alexander B. Wright, Jonathan Winton",Fidelity,
F & C Investment Trust,FCIT,Global,https://www.theaic.co.uk/companydata/fc-investment-trust,Paul Niven,Columbia Threadneedle,
Foresight Environmental Infrastructure,FGEN,Renewable Energy Infrastructure,https://www.theaic.co.uk/companydata/foresight-environmental-infrastructure,"Edward Mountney, Charlie Wright",Foresight Group,
Foresight Solar Fund,FSFL,Renewable Energy Infrastructure,https://www.theaic.co.uk/companydata/foresight-solar-fund,Toby Virno,Foresight Group,
Global Smaller Companies Trust,GSCT,Global Smaller Companies,https://www.theaic.co.uk/companydata/the-global-smaller-companies-trust,Nish Patel,Columbia Threadneedle,
Hansa Investment Company,HAN,Flexible Investment,https://www.theaic.co.uk/companydata/hansa-investment-company-ord-ordinary-share,Alec Letchfield,Hansa Capital Partners,
Henderson European Trust,HET,Europe,https://www.theaic.co.uk/companydata/henderson-european-trust,,Janus Henderson Investors / Fidelity,Merged with Fidelity European Trust (2025/2026) to form a combined European trust - see FEV row for current manager
Henderson Far East Income,HFEL,Asia Pacific Equity Income,https://www.theaic.co.uk/companydata/henderson-far-east-income,Sat Duhra,Janus Henderson Investors,
Henderson Smaller Companies Investment Trust,HSL,UK Smaller Companies,https://www.theaic.co.uk/companydata/henderson-smaller-companies,"Indriatti van Hien, Neil Hermon",Janus Henderson Investors,
Hg Capital Trust,HGT,Private Equity,https://www.theaic.co.uk/companydata/hgcapital-trust,"Nic Humphries, Matthew Brockman, Justin Von Simson",Hg,Styled HgCapital Trust
Impax Environmental Markets,IEM,Environmental,https://www.theaic.co.uk/companydata/impax-environmental-markets,"Sanjeev Lakhani, Fotis Chatzimichalakis",Impax Asset Management,
Invesco Asia Dragon Trust,IAD,Asia Pacific Equity Income,https://www.theaic.co.uk/companydata/invesco-asia-dragon-trust,"Ian Hargreaves, Fiona Yang, Marc Ye",Invesco Asset Management,
Invesco Global Equity Income Trust,IGET,Global Equity Income,https://www.theaic.co.uk/companydata/invesco-global-equity-income-trust,"Stephen Anness, Joe Dowling",Invesco Asset Management,
Island Innovation Trust,,,,,,"Could not confirm this as an AIC-listed investment trust - possibly confused with Schroders Capital Global Innovation Trust (INOV), listed separately below"
