trust_name,ticker,aic_sector,date,price_gbx_or_gbp
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2011-09-30,123.755
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2011-11-01,117.871
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2011-12-01,595.339
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2012-01-01,121.511
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2012-02-01,132.929
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2012-03-01,716.999
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2012-03-31,146.990
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2012-04-30,138.912
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2012-05-31,729.963
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2012-06-30,147.987
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2012-07-31,158.757
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2012-08-31,820.710
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2012-09-30,172.842
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2012-11-01,175.036
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2012-12-01,182.217
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2013-01-01,191.643
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2013-02-01,206.653
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2013-03-01,198.506
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2013-03-31,217.225
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2013-04-30,222.012
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2013-05-31,196.837
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2013-06-30,199.472
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2013-07-31,178.918
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2013-08-31,188.002
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2013-09-30,192.914
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2013-11-01,179.033
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2013-12-01,174.461
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2014-01-01,156.456
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2014-02-01,162.092
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2014-03-01,159.798
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2014-03-31,168.476
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2014-04-30,180.338
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2014-05-31,181.044
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2014-06-30,188.725
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2014-07-31,194.369
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2014-08-31,196.306
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2014-09-30,195.807
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2014-11-01,194.961
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2014-12-01,181.567
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2015-01-01,197.654
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2015-02-01,192.523
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2015-03-01,175.880
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2015-03-31,175.082
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2015-04-30,193.774
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2015-05-31,162.712
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2015-06-30,157.624
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2015-07-31,147.548
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2015-08-31,140.465
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2015-09-30,165.980
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2015-11-01,148.676
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2015-12-01,147.079
Aberdeen Asia Focus,AAS,Asia Pacific Smaller Companies,2016-01-01,166.660
